"","aascode","aasname","Div Payout  aT4Q","Adj EPS aT4Q","Adj EPS n-0","Adj EPS n-1","Adj EPS n-2","Adj EPS n-3","ROE aT4Q","Adj DPS aT4Q","Adj DPS n-0","Adj DPS n-1","Adj DPS n-2","Adj DPS n-3"
"1","7090","AHEALTH",31.44,11.71,11.12,12.35,9.37,7.37,12.5,3.68,3.68,3.34,2.96,2.84
"2","5116","ALAQAR",60.51,9.65,10.35,12.54,11.5,8.62,7.32,5.84,7.8,9.58,7.47,6.36
"3","5269","ALSREIT",90.16,4.91,6.23,6.95,7,8.05,4.59,4.43,5.69,6.15,6.25,3.8
"4","8176","ATAIMS",NA,5.92,6.48,9.35,7.66,6.55,10.39,0,0,0,0,0
"5","6888","AXIATA",82.59,7.86,15.9,-54.91,9.92,5.5,4.46,6.49,9.48,9.42,8.37,7.72
"6","5106","AXREIT",56.99,14.84,14.51,10.75,8.5,8.48,10.02,8.46,9.21,7.5,7.06,6.3
"7","5248","BAUTO",85.98,8.64,8.64,22.8,12.04,10.23,21.4,7.43,7.44,21.19,10.32,11.49
"8","5258","BIMB",37.56,41.92,43.9,38.05,34.58,31.18,11.81,16,15.75,14.61,12.79,11.52
"9","0168","BOILERM",47.19,3.71,4.51,5.15,3.99,4.47,8.83,1.75,1.75,2,1.75,1.5
"10","0011","BTECH",51.14,3.13,2.33,1.66,1.59,1.94,12.03,1.6,1.6,1.6,1.6,1.53
"11","7035","CCK",NA,5.28,5.38,4.47,4.61,2.93,11.74,0,0,0,0,0
"12","5007","CHINWEL",181.88,0.81,0.81,19.22,18.66,16.98,0.43,1.47,1.47,7.7,7.92,6.8
"13","7202","CSCENIC",79.93,2.48,5.14,5.94,10.1,10.91,3.3,2,4.95,5.94,9.9,10.89
"14","5184","CYPARK",NA,19.38,19.23,14.83,12.13,10.89,11.54,0,0,0,2.8,2.64
"15","5132","DELEUM",94.86,3.16,8.25,6.77,8.04,6.6,3.86,3,4.4,3.49,4.24,3.49
"16","7277","DIALOG",27.73,11.17,11.17,9.5,9.05,6.57,15.25,3.1,3.1,3.8,3.2,2.53
"17","6947","DIGI",99.03,16.96,18.43,19.82,18.99,21,212.06,16.8,18.2,19.6,18.8,20.9
"18","7169","DOMINAN",53.94,4.62,7.9,15.78,16.82,13.85,2.55,2.5,3.99,6.98,7.13,4.98
"19","7148","DPHARMA",68.02,7.82,7.83,6.75,6.02,3.84,9.49,5.32,5.8,5.16,3.36,2.57
"20","1368","EDGENTA",67.2,11.91,21.86,17.83,50.29,9.68,6.69,8,14,14,31,7
"21","5208","EITA",41.25,14.54,16.02,15.45,15.32,12.03,10.24,6,6,7,5,4
"22","0090","ELSOFT",128.03,1.17,2.64,5.94,4.44,4.64,7.24,1.49,2.98,4.52,3.28,4.04
"23","6815","EUPE",7.16,20.96,26.45,23.67,7.49,-5.77,7.6,1.5,1.5,0,0,0
"24","7229","FAVCO",48.13,31.07,36.32,28.58,28.17,33.34,9.36,15,14.95,13.35,13.35,14.78
"25","9172","FPI",70.22,15.67,16.9,14.81,17.1,5.5,13.05,11,11,10.01,8,6
"26","7210","FREIGHT",46.26,4.33,4.33,4.89,7.08,7.56,4.17,2,2.01,3.52,3.35,3.26
"27","0128","FRONTKN",37.94,7.08,6.57,4.96,2.83,1.9,17.79,2.69,2.49,1.49,0.5,0
"28","5209","GASMSIA",59.02,15.33,14.81,14.05,15.16,12.86,19.42,9.05,9.6,9,8,8
"29","5168","HARTA",46.59,16.35,12.68,13.31,12.82,8.26,20.68,7.62,7.41,8.25,6.75,1.92
"30","5199","HIBISCS",NA,7.6,-3.1,14.48,12.82,6.68,8.83,0,0,0,0,0
"31","3301","HLIND",77.85,51.66,51.64,99.75,102.04,31.44,10.1,40.22,40.23,47.88,44.78,42.48
"32","5160","HOMERIZ",14.4,6.95,7.37,7.02,10.3,9.34,12.4,1,3,2.5,4.2,5
"33","5024","HUPSENG",117.26,5.12,5.19,5.37,5.56,6.18,26.93,6,6,6,6,6
"34","5084","IBRACO",14,7.14,6.89,6.07,2.83,5.45,9.55,1,1,0,2,3.5
"35","7152","JAYCORP",55.59,12.39,14.44,7.49,18.04,15.29,10.42,6.89,9.84,4.97,10.96,9.96
"36","0146","JFTECH",39.36,3.81,3.81,1.58,0.16,3.03,21.16,1.5,1.5,0.5,0,1.2
"37","0127","JHM",24.34,4.11,5.46,6.8,5.47,3.65,11.1,1,2,2,0.71,0
"38","7167","JOHOTIN",41.49,13.99,15.66,12.42,8.58,11.47,12.38,5.8,6.4,5,5.5,3.21
"39","9466","KKB",30.46,19.7,18.74,6.84,0.64,-2.24,14.59,6,6,4,2,0
"40","5235SS","KLCC",87.94,41.16,43.77,40.15,48.63,49.08,5.64,36.2,38,37,36.15,35.65
"41","7153","KOSSAN",NA,18.06,17.58,15.7,14.51,13.45,15.55,0,0,0,0,0
"42","0002","KOTRA",0.19,20.02,20.02,15.04,10.67,8.4,15.59,0.04,4.41,2.83,1.8,1.8
"43","5878","KPJ",42.5,4.09,4.76,4.04,3.73,3.46,9.87,1.74,1.92,1.96,1.75,0.4
"44","0176","KRONO",NA,-0.03,3.55,3.12,2.3,1.37,-0.08,0,1.76,0,0,0
"45","7089","LIIHEN",33.63,40.15,43.53,32.1,39.79,40.71,18.17,13.5,15.5,11.5,20,22
"46","6645","LITRAK",60,41.6,49.22,44.37,42.95,41.54,20.05,24.96,24.96,24.81,24.8,24.66
"47","7087","MAGNI",33.56,28.12,28.12,23.69,21.09,27.72,20.08,9.43,9.44,8.64,7.51,8.64
"48","5264","MALAKOF",85.48,7.9,6.4,5.49,6.2,7.11,7.35,6.75,6.4,5.51,6.2,7
"49","7029","MASTER",15.75,25.4,28.73,10.54,7.22,5.62,12.76,4,2,1.5,1,1
"50","5236","MATRIX",40.74,25.26,28.09,26.08,25.39,22.21,12.88,10.29,11.38,11.51,12.07,9.38
"51","5983","MBMR",39.47,30.4,56.41,42.35,-38.07,16.9,6.82,12,13,6,3,6
"52","7189","MBWORLD",NA,23.3,34.69,32.33,19.43,10.06,12.6,0,5,10,2.5,0
"53","3069","MFCB",21.1,47.86,31.1,26.16,27.99,24.43,13.94,10.1,4.88,3.19,3.16,3.5
"54","0138","MYEG",34.65,6.98,8.45,0,3.58,0,31.88,2.42,2.42,0,1.87,0
"55","0172","OCK",NA,2.99,2.93,2.51,2.56,2.77,5.25,0,0,0,0.01,0
"56","0040","OPENSYS",38.92,3.84,3.71,3.39,2.24,2.01,17.45,1.5,1.49,1.24,1,1
"57","7052","PADINI",43.76,11.43,11.43,24.35,27.09,23.92,9.85,5,7.5,11.5,11.5,11.5
"58","5183","PCHEM",60.57,19.81,35,62,52,37,5.19,12,18,32,27,19
"59","7160","PENTA",9.17,10.91,11.66,8.02,5.05,3.79,16.54,1,1,0,0,0
"60","5681","PETDAG",193.03,34.19,83.5,85.54,155,95.1,6.17,66,85,70.04,97,70
"61","6033","PETGAS",142.57,92.59,97.8,91.49,90.6,87.89,13.87,132,82,72,66,62
"62","7088","POHUAT",25.35,17.53,20.1,18.61,22.02,18.58,11.71,4.44,6.25,5.2,6.75,6.74
"63","0186","PTRANS",56.82,2.27,2.41,2.16,1.75,1.31,10.93,1.29,0.86,0.8,0.53,0.25
"64","7237","PWROOT",105.43,11.89,12.23,6.67,2.25,10.36,19.63,12.53,12.15,7.53,7.32,8.39
"65","7084","QL",30.47,14.77,14.75,13.36,12.71,12.08,11.19,4.5,4.5,4.5,4.5,5.58
"66","9822","SAM",28.99,50.92,59.06,58.09,46.72,32.26,11.65,14.76,43.81,23.36,17.23,35.8
"67","0099","SCICOM",80.56,6.22,6.22,5.7,9.09,12.8,21.44,5,5.02,5.51,9.02,9.02
"68","4731","SCIENTX",27.03,73.94,64.69,56.18,49.6,46.69,15.67,20,19.98,18.85,14.9,9.7
"69","0001","SCOMNET",NA,3.07,2.92,1.89,0.4,0.36,9.22,0,1.5,0,0,0.15
"70","5279","SERBADK",23.21,15.9,14.74,11.52,9.2,4.51,17.47,3.69,4.37,3.49,2.69,0
"71","7180","SERNKOU",NA,6.81,6.57,4.48,3.52,0.57,16.99,0,0,0,0,0
"72","5288","SIMEPROP",224.51,0.89,8.78,-4.68,9.39,8.22,0.64,2,2.99,1,4.99,1.38
"73","0080","STRAITS",NA,0.81,1.09,0.62,0.39,0.01,4.7,0,0,0,0,0
"74","6521","SURIA",22.49,11.09,15.07,15.28,14.1,19.23,3.39,2.5,4.99,9.48,3.33,5.82
"75","6139","TAKAFUL",0.45,43.85,43.93,35.51,24.89,21.23,25.75,0.2,0.2,0.15,0.15,0.12
"76","8524","TALIWRK",151.75,4.05,3.79,4.92,1.44,6.32,8.22,6.15,5.25,4.8,4.8,4.8
"77","5031","TIMECOM",52.12,53.97,51.97,47.77,29.02,67.41,11.38,28.13,28.13,19.86,16.55,29.21
"78","5010","TONGHER",109.34,18.32,12.86,39.66,37.36,29.44,5.71,20,12.05,26.14,18.11,8.54
"79","7113","TOPGLOV",54.72,24.18,13.68,16.01,12.28,13.32,19.83,13.23,7.09,8.02,6.71,6.7
"80","7100","UCHITEC",101.81,15.63,16.83,15.29,15.62,12.3,46.18,15.91,15.91,13.88,24.28,11.96
"81","7091","UNIMECH",33.12,12.8,13.83,11.84,7.49,5.46,7.42,4.24,4.24,3.59,2.37,2.37
"82","5200","UOADEV",76.05,17.03,18.8,17.83,23.12,31.85,7.34,12.95,12.95,12.15,12.23,11.52
"83","2089","UTDPLT",NA,81.9,66.79,60.5,82.22,89.83,19.95,0,82.36,51.62,62.5,60
"84","7070","VIZIONE",NA,1.51,1.51,8.39,3.45,0.08,1.99,0,0,0,0,0
"85","6963","VS",43.01,5.86,8.38,8.02,8.32,6.27,6.75,2.52,4.25,4.2,3.71,2.91
"86","7231","WELLCAL",82.83,6.01,7.35,6.32,7.22,6.25,25.56,5,5.62,5.42,6.13,4.06
"87","0162","WIDAD",NA,0.17,0.55,0.88,0.14,0.07,2.45,0,0,0,0,0
"88","5131","ZHULIAN",155.43,9.01,10.77,11.38,11.48,9.04,6.88,14,12,10,7.5,6
